Norway_index,z_index_index,ATC_match,best_z_index_index
116,6542,True,
116,6635,True,
116,6722,True,
116,11257,True,
116,17444,True,
116,22117,True,
116,26674,True,
116,28767,True,
116,30595,True,
116,35530,True,
116,44021,True,
116,49654,True,
116,51759,True,
116,64517,True,
116,72725,True,
118,1849,True,50482
118,3098,True,50482
118,3099,True,50482
118,50795,True,50482
118,65555,True,50482
121,27937,True,126012
121,27938,True,126012
123,8823,True,
123,14742,True,
123,27418,True,
123,32730,True,
123,32731,True,
123,45108,True,
123,47525,True,
123,55644,True,
123,60054,True,
126,3214,True,60194
133,3801,True,44431
133,4899,True,44431
133,5860,True,44431
133,5861,True,44431
133,6426,True,44431
134,122,True,7439
134,123,True,7439
134,1027,True,7439
134,1028,True,7439
134,1030,True,7439
134,1340,True,7439
134,61191,True,7439
135,17819,True,
135,55716,True,
135,55719,True,
136,3464,True,
136,3465,True,
136,7326,True,
136,14554,True,
136,18788,True,
137,3720,True,
137,3721,True,
137,9075,True,
145,14469,True,219193
145,14470,True,219193
145,20747,True,219193
145,63436,True,219193
145,63467,True,219193
145,63468,True,219193
145,63469,True,219193
145,63470,True,219193
145,63471,True,219193
148,1317,True,
148,2498,True,
148,2611,True,
148,2612,True,
148,2613,True,
148,2640,True,
148,2734,True,
148,4835,True,
148,5750,True,
148,8335,True,
148,15146,True,
148,15147,True,
148,15927,True,
148,16303,True,
148,20544,True,
148,20573,True,
148,23590,True,
148,24390,True,
148,28396,True,
148,29836,True,
148,30490,True,
148,35924,True,
148,36780,True,
148,54370,True,
148,73936,True,
149,1849,True,52272
149,3098,True,52272
149,3099,True,52272
149,50795,True,52272
149,65555,True,52272
160,11494,True,116475
160,11522,True,116475
160,11550,True,116475
160,18145,True,116475
160,23997,True,116475
160,39022,True,116475
162,8342,True,96962
162,8343,True,96962
162,8344,True,96962
162,15779,True,96962
162,15780,True,96962
162,15781,True,96962
162,15782,True,96962
162,15783,True,96962
162,15784,True,96962
162,30843,True,96962
162,30844,True,96962
162,30845,True,96962
162,30846,True,96962
162,58176,True,96962
162,58178,True,96962
163,8342,True,96970
163,8343,True,96970
163,8344,True,96970
163,15779,True,96970
163,15780,True,96970
163,15781,True,96970
163,15782,True,96970
163,15783,True,96970
163,15784,True,96970
163,30843,True,96970
163,30844,True,96970
163,30845,True,96970
163,30846,True,96970
163,58176,True,96970
163,58178,True,96970
164,8342,True,96989
164,8343,True,96989
164,8344,True,96989
164,15779,True,96989
164,15780,True,96989
164,15781,True,96989
164,15782,True,96989
164,15783,True,96989
164,15784,True,96989
164,30843,True,96989
164,30844,True,96989
164,30845,True,96989
164,30846,True,96989
164,58176,True,96989
164,58178,True,96989
165,8342,True,96997
165,8343,True,96997
165,8344,True,96997
165,15779,True,96997
165,15780,True,96997
165,15781,True,96997
165,15782,True,96997
165,15783,True,96997
165,15784,True,96997
165,30843,True,96997
165,30844,True,96997
165,30845,True,96997
165,30846,True,96997
165,58176,True,96997
165,58178,True,96997
167,3184,True,60151
167,28046,True,60151
170,7040,True,84336
170,11664,True,84336
170,21341,True,84336
170,21357,True,84336
170,21389,True,84336
170,21405,True,84336
171,17843,True,69566
177,284,True,93629
177,438,True,93629
177,665,True,93629
177,989,True,93629
177,11103,True,93629
177,11104,True,93629
177,13781,True,93629
177,16496,True,93629
177,22475,True,93629
177,23554,True,93629
177,24094,True,93629
177,24447,True,93629
177,24967,True,93629
177,28024,True,93629
177,29058,True,93629
177,30210,True,93629
177,30842,True,93629
177,32636,True,93629
177,32932,True,93629
177,32933,True,93629
177,34795,True,93629
177,34796,True,93629
177,35336,True,93629
177,35372,True,93629
177,36813,True,93629
177,37655,True,93629
177,38142,True,93629
177,39778,True,93629
177,40569,True,93629
177,43453,True,93629
177,47796,True,93629
177,48568,True,93629
177,48569,True,93629
177,48602,True,93629
177,49563,True,93629
177,49565,True,93629
177,51843,True,93629
177,54887,True,93629
177,55122,True,93629
177,55307,True,93629
177,55308,True,93629
177,62558,True,93629
177,62559,True,93629
177,64291,True,93629
177,65599,True,93629
177,65684,True,93629
179,24382,True,117838
179,58605,True,117838
180,24382,True,117838
180,58605,True,117838
181,1309,True,
181,1310,True,
181,1378,True,
181,3481,True,
181,4818,True,
181,4819,True,
181,5886,True,
181,5887,True,
181,5888,True,
181,5889,True,
181,5913,True,
181,10394,True,
181,10395,True,
181,10396,True,
181,10398,True,
181,12934,True,
181,12936,True,
181,12938,True,
181,13583,True,
181,20152,True,
181,20153,True,
181,28036,True,
181,38171,True,
181,70585,True,
181,70601,True,
181,70602,True,
181,70839,True,
183,1317,True,95176
183,2498,True,95176
183,2611,True,95176
183,2612,True,95176
183,2613,True,95176
183,2640,True,95176
183,2734,True,95176
183,4835,True,95176
183,5750,True,95176
183,8335,True,95176
183,15146,True,95176
183,15147,True,95176
183,15927,True,95176
183,16303,True,95176
183,20544,True,95176
183,20573,True,95176
183,23590,True,95176
183,24390,True,95176
183,28396,True,95176
183,29836,True,95176
183,30490,True,95176
183,35924,True,95176
183,36780,True,95176
183,54370,True,95176
183,73936,True,95176
187,63317,True,
188,59988,True,214817
188,59996,True,214817
192,3363,True,212296
192,6542,True,212296
192,6635,True,212296
192,6722,True,212296
192,11257,True,212296
192,17444,True,212296
192,22117,True,212296
192,26674,True,212296
192,28767,True,212296
192,30595,True,212296
192,35530,True,212296
192,44021,True,212296
192,49654,True,212296
192,51759,True,212296
192,64517,True,212296
192,72725,True,212296
194,32771,True,
196,416,True,3913
196,417,True,3913
196,11243,True,3913
196,15564,True,3913
196,16255,True,3913
196,16256,True,3913
197,4827,True,
197,5984,True,
200,2514,True,82880
200,7290,True,82880
200,7291,True,82880
202,6081,True,46310
202,6082,True,46310
202,6573,True,46310
202,6574,True,46310
202,26533,True,46310
202,28506,True,46310
202,28508,True,46310
202,44234,True,46310
202,59306,True,46310
202,62623,True,46310
202,68404,True,46310
205,1375,True,223972
205,35523,True,223972
205,57434,True,223972
206,0,True,152056
206,282,True,152056
206,40015,True,152056
208,3464,True,
208,3465,True,
208,7326,True,
208,14554,True,
208,18788,True,
213,3801,True,44466
213,4899,True,44466
213,5860,True,44466
213,5861,True,44466
213,6426,True,44466
214,122,True,7439
214,123,True,7439
214,1027,True,7439
214,1028,True,7439
214,1030,True,7439
214,1340,True,7439
214,61191,True,7439
215,28737,True,128228
215,28738,True,128228
217,4704,True,199303
217,4705,True,199303
217,4706,True,199303
217,4707,True,199303
217,44699,True,199303
218,4704,True,75698
218,4705,True,75698
218,4706,True,75698
218,4707,True,75698
218,44699,True,75698
226,535,True,31860
226,1191,True,31860
226,1285,True,31860
226,1878,True,31860
226,1879,True,31860
226,1880,True,31860
226,1881,True,31860
226,2973,True,31860
226,3522,True,31860
226,6178,True,31860
226,10032,True,31860
226,13280,True,31860
226,13398,True,31860
226,13399,True,31860
226,13400,True,31860
226,13401,True,31860
226,13402,True,31860
226,13403,True,31860
226,17655,True,31860
226,18280,True,31860
226,23799,True,31860
226,42061,True,31860
226,69364,True,31860
231,4704,True,
231,4705,True,
231,4706,True,
231,4707,True,
231,44699,True,
232,55208,True,
233,55208,True,
237,49396,True,133388
237,49397,True,133388
237,49398,True,133388
237,49399,True,133388
238,1473,True,
238,1474,True,
238,5734,True,
238,6631,True,
238,6632,True,
238,6633,True,
238,6634,True,
238,10441,True,
238,39313,True,
238,58671,True,
239,374,True,26190
239,478,True,26190
239,479,True,26190
239,480,True,26190
239,1035,True,26190
239,1036,True,26190
239,3806,True,26190
239,7621,True,26190
239,16300,True,26190
239,16301,True,26190
239,16302,True,26190
239,22422,True,26190
239,28023,True,26190
239,32916,True,26190
239,32918,True,26190
239,50754,True,26190
240,374,True,81043
240,478,True,81043
240,479,True,81043
240,480,True,81043
240,1035,True,81043
240,1036,True,81043
240,3806,True,81043
240,7621,True,81043
240,16300,True,81043
240,16301,True,81043
240,16302,True,81043
240,22422,True,81043
240,28023,True,81043
240,32916,True,81043
240,32918,True,81043
240,50754,True,81043
241,4736,True,75191
241,41756,True,75191
241,70039,True,75191
245,25456,True,
245,35093,True,
245,35102,True,
245,35111,True,
246,4346,True,93769
246,4347,True,93769
246,5829,True,93769
246,5830,True,93769
246,6783,True,93769
246,9073,True,93769
246,11166,True,93769
246,24991,True,93769
246,45573,True,93769
247,2149,True,51098
247,2151,True,51098
247,2153,True,51098
247,5994,True,51098
247,16545,True,51098
247,18872,True,51098
247,19153,True,51098
247,32037,True,51098
247,67054,True,51098
247,67058,True,51098
249,1462,True,
249,1463,True,
249,1464,True,
249,36923,True,
253,1311,True,
253,1312,True,
253,3141,True,
253,3177,True,
253,6193,True,
253,8467,True,
253,17591,True,
253,46913,True,
253,58294,True,
253,58295,True,
253,60200,True,
253,65533,True,
253,67854,True,
254,851,True,67679
254,853,True,67679
254,1374,True,67679
254,3774,True,67679
254,4196,True,67679
254,4198,True,67679
254,6210,True,67679
254,6212,True,67679
254,13318,True,67679
254,39021,True,67679
254,51552,True,67679
255,2796,True,54771
255,3733,True,54771
259,1335,True,
259,6547,True,
260,2514,True,82880
260,7290,True,82880
260,7291,True,82880
264,296,True,5967
264,657,True,5967
264,1060,True,5967
264,1379,True,5967
264,1681,True,5967
264,1753,True,5967
264,6644,True,5967
264,6871,True,5967
264,22806,True,5967
264,25371,True,5967
264,27724,True,5967
264,32929,True,5967
264,34573,True,5967
264,34594,True,5967
264,34595,True,5967
264,34596,True,5967
264,34597,True,5967
264,37848,True,5967
264,39664,True,5967
264,42039,True,5967
264,44236,True,5967
264,46148,True,5967
264,48548,True,5967
264,48549,True,5967
264,48550,True,5967
264,48551,True,5967
264,49625,True,5967
264,49626,True,5967
264,49627,True,5967
264,49629,True,5967
264,50271,True,5967
264,51797,True,5967
264,52123,True,5967
264,53153,True,5967
264,57698,True,5967
264,57699,True,5967
264,57700,True,5967
264,57701,True,5967
264,58683,True,5967
264,58684,True,5967
264,59311,True,5967
264,64583,True,5967
264,65078,True,5967
264,65088,True,5967
264,65089,True,5967
264,65090,True,5967
264,65096,True,5967
264,65097,True,5967
264,65098,True,5967
264,65099,True,5967
264,65405,True,5967
264,65489,True,5967
264,65860,True,5967
264,67158,True,5967
264,68493,True,5967
264,69958,True,5967
264,69959,True,5967
264,69960,True,5967
264,71092,True,5967
264,71095,True,5967
264,71106,True,5967
264,71108,True,5967
264,71197,True,5967
265,4754,True,75345
265,4755,True,75345
265,41506,True,75345
268,472,True,118095
268,482,True,118095
268,621,True,118095
268,643,True,118095
268,19785,True,118095
268,24478,True,118095
268,39675,True,118095
272,1317,True,
272,2498,True,
272,2611,True,
272,2612,True,
272,2613,True,
272,2640,True,
272,2734,True,
272,4835,True,
272,5750,True,
272,8335,True,
272,15146,True,
272,15147,True,
272,15927,True,
272,16303,True,
272,20544,True,
272,20573,True,
272,23590,True,
272,24390,True,
272,28396,True,
272,29836,True,
272,30490,True,
272,35924,True,
272,36780,True,
272,54370,True,
272,73936,True,
285,296,True,3387
285,657,True,3387
285,1060,True,3387
285,1379,True,3387
285,1681,True,3387
285,1753,True,3387
285,6644,True,3387
285,6871,True,3387
285,22806,True,3387
285,25371,True,3387
285,27724,True,3387
285,32929,True,3387
285,34573,True,3387
285,34594,True,3387
285,34595,True,3387
285,34596,True,3387
285,34597,True,3387
285,37848,True,3387
285,39664,True,3387
285,42039,True,3387
285,44236,True,3387
285,46148,True,3387
285,48548,True,3387
285,48549,True,3387
285,48550,True,3387
285,48551,True,3387
285,49625,True,3387
285,49626,True,3387
285,49627,True,3387
285,49629,True,3387
285,50271,True,3387
285,51797,True,3387
285,52123,True,3387
285,53153,True,3387
285,57698,True,3387
285,57699,True,3387
285,57700,True,3387
285,57701,True,3387
285,58683,True,3387
285,58684,True,3387
285,59311,True,3387
285,64583,True,3387
285,65078,True,3387
285,65088,True,3387
285,65089,True,3387
285,65090,True,3387
285,65096,True,3387
285,65097,True,3387
285,65098,True,3387
285,65099,True,3387
285,65405,True,3387
285,65489,True,3387
285,65860,True,3387
285,67158,True,3387
285,68493,True,3387
285,69958,True,3387
285,69959,True,3387
285,69960,True,3387
285,71092,True,3387
285,71095,True,3387
285,71106,True,3387
285,71108,True,3387
285,71197,True,3387
286,137,True,14818
286,138,True,14818
286,139,True,14818
286,24301,True,14818
287,137,True,14826
287,138,True,14826
287,139,True,14826
287,24301,True,14826
288,137,True,14796
288,138,True,14796
288,139,True,14796
288,24301,True,14796
290,1845,True,88811
290,1846,True,88811
290,1847,True,88811
290,17821,True,88811
290,17822,True,88811
290,20807,True,88811
290,22190,True,88811
290,28032,True,88811
290,54111,True,88811
290,54112,True,88811
290,54113,True,88811
290,54114,True,88811
290,54115,True,88811
290,54116,True,88811
290,71787,True,88811
290,74363,True,88811
296,8342,True,96997
296,8343,True,96997
296,8344,True,96997
296,15779,True,96997
296,15780,True,96997
296,15781,True,96997
296,15782,True,96997
296,15783,True,96997
296,15784,True,96997
296,30843,True,96997
296,30844,True,96997
296,30845,True,96997
296,30846,True,96997
296,58176,True,96997
296,58178,True,96997
297,755,True,58173
297,1465,True,58173
297,1725,True,58173
297,1726,True,58173
297,5257,True,58173
297,8016,True,58173
297,8017,True,58173
297,8018,True,58173
297,8019,True,58173
297,8026,True,58173
297,8027,True,58173
297,8028,True,58173
297,8031,True,58173
297,8032,True,58173
297,8038,True,58173
297,8039,True,58173
297,8040,True,58173
297,8041,True,58173
297,8046,True,58173
297,11174,True,58173
297,12209,True,58173
297,12580,True,58173
297,16250,True,58173
297,22491,True,58173
297,47114,True,58173
297,71067,True,58173
297,71199,True,58173
299,11177,True,223964
299,13320,True,223964
299,20032,True,223964
299,24577,True,223964
299,32292,True,223964
299,65364,True,223964
299,65379,True,223964
309,22334,True,
309,22336,True,
312,851,True,38210
312,853,True,38210
312,1374,True,38210
312,3774,True,38210
312,4196,True,38210
312,4198,True,38210
312,6210,True,38210
312,6212,True,38210
312,13318,True,38210
312,39021,True,38210
312,51552,True,38210
314,1237,True,44172
314,18864,True,44172
314,68271,True,44172
