Belgium_index,z_index_index,ATC_match,best_z_index_index
45,8332,True,
45,8333,True,
45,15862,True,
45,15863,True,
45,15864,True,
45,17568,True,
45,17570,True,
45,17572,True,
45,17573,True,
45,17574,True,
45,17575,True,
45,23077,True,
45,23078,True,
45,27414,True,
45,27415,True,
45,29552,True,
45,36724,True,
45,36725,True,
45,36726,True,
45,39511,True,
45,39512,True,
45,39513,True,
45,39744,True,
45,42631,True,
45,67230,True,
45,67231,True,
45,67232,True,
45,67233,True,
45,67234,True,
45,67235,True,
45,68985,True,
45,68986,True,
45,68987,True,
46,8330,True,98221
46,8331,True,98221
46,8332,True,98221
46,8333,True,98221
46,15862,True,98221
46,15863,True,98221
46,15864,True,98221
46,17568,True,98221
46,17570,True,98221
46,17572,True,98221
46,17573,True,98221
46,17574,True,98221
46,17575,True,98221
46,23077,True,98221
46,23078,True,98221
46,27414,True,98221
46,27415,True,98221
46,29552,True,98221
46,36724,True,98221
46,36725,True,98221
46,36726,True,98221
46,39511,True,98221
46,39512,True,98221
46,39513,True,98221
46,39744,True,98221
46,42631,True,98221
46,67230,True,98221
46,67231,True,98221
46,67232,True,98221
46,67233,True,98221
46,67234,True,98221
46,67235,True,98221
46,68985,True,98221
46,68986,True,98221
46,68987,True,98221
47,8330,True,98221
47,8331,True,98221
47,8332,True,98221
47,8333,True,98221
47,15862,True,98221
47,15863,True,98221
47,15864,True,98221
47,17568,True,98221
47,17570,True,98221
47,17572,True,98221
47,17573,True,98221
47,17574,True,98221
47,17575,True,98221
47,23077,True,98221
47,23078,True,98221
47,27414,True,98221
47,27415,True,98221
47,29552,True,98221
47,36724,True,98221
47,36725,True,98221
47,36726,True,98221
47,39511,True,98221
47,39512,True,98221
47,39513,True,98221
47,39744,True,98221
47,42631,True,98221
47,67230,True,98221
47,67231,True,98221
47,67232,True,98221
47,67233,True,98221
47,67234,True,98221
47,67235,True,98221
47,68985,True,98221
47,68986,True,98221
47,68987,True,98221
48,8330,True,98213
48,8331,True,98213
48,8332,True,98213
48,8333,True,98213
48,15862,True,98213
48,15863,True,98213
48,15864,True,98213
48,17568,True,98213
48,17570,True,98213
48,17572,True,98213
48,17573,True,98213
48,17574,True,98213
48,17575,True,98213
48,23077,True,98213
48,23078,True,98213
48,27414,True,98213
48,27415,True,98213
48,29552,True,98213
48,36724,True,98213
48,36725,True,98213
48,36726,True,98213
48,39511,True,98213
48,39512,True,98213
48,39513,True,98213
48,39744,True,98213
48,42631,True,98213
48,67230,True,98213
48,67231,True,98213
48,67232,True,98213
48,67233,True,98213
48,67234,True,98213
48,67235,True,98213
48,68985,True,98213
48,68986,True,98213
48,68987,True,98213
49,8330,True,
49,8331,True,
49,8332,True,
49,8333,True,
49,15862,True,
49,15863,True,
49,15864,True,
49,17568,True,
49,17570,True,
49,17572,True,
49,17573,True,
49,17574,True,
49,17575,True,
49,23077,True,
49,23078,True,
49,27414,True,
49,27415,True,
49,29552,True,
49,36724,True,
49,36725,True,
49,36726,True,
49,39511,True,
49,39512,True,
49,39513,True,
49,39744,True,
49,42631,True,
49,67230,True,
49,67231,True,
49,67232,True,
49,67233,True,
49,67234,True,
49,67235,True,
49,68985,True,
49,68986,True,
49,68987,True,
60,5179,True,
61,5179,True,
62,5179,True,
63,5179,True,39039
64,5179,True,39039
65,5179,True,39039
66,5179,True,39039
67,5179,True,39039
68,1537,True,
68,4291,True,
68,4298,True,
68,4484,True,
68,6492,True,
68,13630,True,
68,18679,True,
68,18691,True,
68,21832,True,
68,21855,True,
68,21861,True,
68,21878,True,
68,29258,True,
68,31709,True,
68,32149,True,
68,43562,True,
68,43988,True,
68,71715,True,
69,1537,True,71129
69,4291,True,71129
69,4298,True,71129
69,4484,True,71129
69,6492,True,71129
69,13630,True,71129
69,18679,True,71129
69,18691,True,71129
69,21832,True,71129
69,21855,True,71129
69,21861,True,71129
69,21878,True,71129
69,29258,True,71129
69,31709,True,71129
69,32149,True,71129
69,43562,True,71129
69,43988,True,71129
69,71715,True,71129
70,1537,True,71137
70,4291,True,71137
70,4298,True,71137
70,4484,True,71137
70,6492,True,71137
70,13630,True,71137
70,18679,True,71137
70,18691,True,71137
70,21832,True,71137
70,21855,True,71137
70,21861,True,71137
70,21878,True,71137
70,29258,True,71137
70,31709,True,71137
70,32149,True,71137
70,43562,True,71137
70,43988,True,71137
70,71715,True,71137
71,3829,True,49522
73,466,True,83410
73,659,True,83410
73,928,True,83410
73,1189,True,83410
73,3166,True,83410
73,5059,True,83410
73,6602,True,83410
73,19939,True,83410
73,22114,True,83410
73,23136,True,83410
73,60604,True,83410
74,466,True,25038
74,659,True,25038
74,928,True,25038
74,1189,True,25038
74,3166,True,25038
74,5059,True,25038
74,6602,True,25038
74,19939,True,25038
74,22114,True,25038
74,23136,True,25038
74,60604,True,25038
75,466,True,
75,659,True,
75,928,True,
75,1189,True,
75,3166,True,
75,5059,True,
75,6602,True,
75,19939,True,
75,22114,True,
75,23136,True,
75,60604,True,
76,466,True,34789
76,659,True,34789
76,928,True,34789
76,1189,True,34789
76,3166,True,34789
76,5059,True,34789
76,6602,True,34789
76,19939,True,34789
76,22114,True,34789
76,23136,True,34789
76,60604,True,34789
77,466,True,
77,659,True,
77,928,True,
77,1189,True,
77,3166,True,
77,5059,True,
77,6602,True,
77,19939,True,
77,22114,True,
77,23136,True,
77,60604,True,
78,466,True,34789
78,659,True,34789
78,928,True,34789
78,1189,True,34789
78,3166,True,34789
78,5059,True,34789
78,6602,True,34789
78,19939,True,34789
78,22114,True,34789
78,23136,True,34789
78,60604,True,34789
79,466,True,25038
79,659,True,25038
79,928,True,25038
79,1189,True,25038
79,3166,True,25038
79,5059,True,25038
79,6602,True,25038
79,19939,True,25038
79,22114,True,25038
79,23136,True,25038
79,60604,True,25038
80,466,True,34789
80,659,True,34789
80,928,True,34789
80,1189,True,34789
80,3166,True,34789
80,5059,True,34789
80,6602,True,34789
80,19939,True,34789
80,22114,True,34789
80,23136,True,34789
80,60604,True,34789
81,466,True,
81,659,True,
81,928,True,
81,1189,True,
81,3166,True,
81,5059,True,
81,6602,True,
81,19939,True,
81,22114,True,
81,23136,True,
81,60604,True,
82,466,True,
82,659,True,
82,928,True,
82,1189,True,
82,3166,True,
82,5059,True,
82,6602,True,
82,19939,True,
82,22114,True,
82,23136,True,
82,60604,True,
83,466,True,25038
83,659,True,25038
83,928,True,25038
83,1189,True,25038
83,3166,True,25038
83,5059,True,25038
83,6602,True,25038
83,19939,True,25038
83,22114,True,25038
83,23136,True,25038
83,60604,True,25038
84,466,True,83410
84,659,True,83410
84,928,True,83410
84,1189,True,83410
84,3166,True,83410
84,5059,True,83410
84,6602,True,83410
84,19939,True,83410
84,22114,True,83410
84,23136,True,83410
84,60604,True,83410
85,466,True,34789
85,659,True,34789
85,928,True,34789
85,1189,True,34789
85,3166,True,34789
85,5059,True,34789
85,6602,True,34789
85,19939,True,34789
85,22114,True,34789
85,23136,True,34789
85,60604,True,34789
86,466,True,
86,659,True,
86,928,True,
86,1189,True,
86,3166,True,
86,5059,True,
86,6602,True,
86,19939,True,
86,22114,True,
86,23136,True,
86,60604,True,
87,466,True,
87,659,True,
87,928,True,
87,1189,True,
87,3166,True,
87,5059,True,
87,6602,True,
87,19939,True,
87,22114,True,
87,23136,True,
87,60604,True,
88,466,True,
88,659,True,
88,928,True,
88,1189,True,
88,3166,True,
88,5059,True,
88,6602,True,
88,19939,True,
88,22114,True,
88,23136,True,
88,60604,True,
89,466,True,
89,659,True,
89,928,True,
89,1189,True,
89,3166,True,
89,5059,True,
89,6602,True,
89,19939,True,
89,22114,True,
