Netherlands_index,z_index_index,ATC_match,best_z_index_index
51,15927,True,18120
51,16303,True,18120
51,20544,True,18120
51,20573,True,18120
51,23590,True,18120
51,24390,True,18120
51,28396,True,18120
51,29836,True,18120
51,30490,True,18120
51,35924,True,18120
51,36780,True,18120
51,54370,True,18120
51,73936,True,18120
52,2283,True,95818
52,13491,True,95818
52,15843,True,95818
52,18158,True,95818
52,18159,True,95818
52,20751,True,95818
52,23743,True,95818
52,26683,True,95818
52,32672,True,95818
52,57870,True,95818
52,63248,True,95818
52,72808,True,95818
53,8507,True,83925
53,8538,True,83925
53,8569,True,83925
53,8600,True,83925
53,23499,True,83925
53,27421,True,83925
53,27452,True,83925
54,1273,True,20850
54,1274,True,20850
54,3472,True,20850
54,3473,True,20850
54,9087,True,20850
54,14467,True,20850
54,23098,True,20850
54,42589,True,20850
54,43232,True,20850
54,43233,True,20850
56,2339,True,62537
56,2341,True,62537
56,2343,True,62537
56,3081,True,62537
56,3083,True,62537
56,3085,True,62537
56,22185,True,62537
56,22187,True,62537
56,28580,True,62537
56,41507,True,62537
56,43448,True,62537
56,51124,True,62537
56,51449,True,62537
56,51451,True,62537
57,3107,True,58998
57,3108,True,58998
58,535,True,116882
58,1191,True,116882
58,1285,True,116882
58,1878,True,116882
58,1879,True,116882
58,1880,True,116882
58,1881,True,116882
58,2973,True,116882
58,3522,True,116882
58,6178,True,116882
58,10032,True,116882
58,13280,True,116882
58,13398,True,116882
58,13399,True,116882
58,13400,True,116882
58,13401,True,116882
58,13402,True,116882
58,13403,True,116882
58,17655,True,116882
58,18280,True,116882
58,23799,True,116882
58,42061,True,116882
58,69364,True,116882
59,1317,True,67903
59,2498,True,67903
59,2611,True,67903
59,2612,True,67903
59,2613,True,67903
59,2640,True,67903
59,2734,True,67903
59,4835,True,67903
59,5750,True,67903
59,8335,True,67903
59,15146,True,67903
59,15147,True,67903
59,15927,True,67903
59,16303,True,67903
59,20544,True,67903
59,20573,True,67903
59,23590,True,67903
59,24390,True,67903
59,28396,True,67903
59,29836,True,67903
59,30490,True,67903
59,35924,True,67903
59,36780,True,67903
59,54370,True,67903
59,73936,True,67903
60,1709,True,32336
60,4606,True,32336
61,28770,True,215422
61,30204,True,215422
61,32142,True,215422
61,59592,True,215422
62,22168,True,96547
62,33466,True,96547
62,33467,True,96547
62,37243,True,96547
62,39800,True,96547
63,6345,True,76368
63,6347,True,76368
63,6348,True,76368
63,6572,True,76368
63,11097,True,76368
64,13370,True,92576
64,13381,True,92576
64,18032,True,92576
64,23229,True,92576
65,11840,True,60569
65,11841,True,60569
65,11842,True,60569
65,65424,True,60569
65,68273,True,60569
66,1739,True,49441
66,2447,True,49441
66,12405,True,49441
66,12406,True,49441
66,12407,True,49441
66,12408,True,49441
66,13835,True,49441
66,14550,True,49441
66,14552,True,49441
66,25257,True,49441
67,136,True,209368
67,246,True,209368
67,247,True,209368
67,2781,True,209368
67,12582,True,209368
67,15770,True,209368
67,25032,True,209368
67,25033,True,209368
67,25034,True,209368
67,25035,True,209368
67,25036,True,209368
67,25037,True,209368
67,25038,True,209368
67,25039,True,209368
67,25040,True,209368
67,28121,True,209368
67,28122,True,209368
67,28123,True,209368
67,28124,True,209368
67,28133,True,209368
67,29949,True,209368
67,29950,True,209368
67,29951,True,209368
67,29952,True,209368
67,29953,True,209368
67,29954,True,209368
67,29955,True,209368
67,29956,True,209368
67,29957,True,209368
67,32747,True,209368
67,32748,True,209368
67,32749,True,209368
67,32750,True,209368
67,32751,True,209368
67,32752,True,209368
67,32753,True,209368
67,32754,True,209368
67,34816,True,209368
67,53157,True,209368
67,54144,True,209368
67,54145,True,209368
67,54146,True,209368
67,54147,True,209368
67,54148,True,209368
