Romania_index,z_index_index,ATC_match,best_z_index_index
270,7968,True,33561
270,34149,True,33561
270,45531,True,33561
271,1462,True,
271,1463,True,
271,1464,True,
271,36923,True,
272,24773,True,23043
272,24774,True,23043
272,26028,True,23043
272,26029,True,23043
272,26030,True,23043
272,26031,True,23043
272,39330,True,23043
272,42078,True,23043
272,42079,True,23043
272,49211,True,23043
272,49212,True,23043
272,49213,True,23043
272,49617,True,23043
272,49618,True,23043
272,49619,True,23043
272,49621,True,23043
272,52102,True,23043
272,52103,True,23043
272,52114,True,23043
272,52122,True,23043
272,52128,True,23043
272,52130,True,23043
272,52457,True,23043
272,53129,True,23043
272,53156,True,23043
272,54043,True,23043
272,54045,True,23043
272,54046,True,23043
272,54610,True,23043
272,54613,True,23043
272,54614,True,23043
272,54947,True,23043
272,55327,True,23043
272,57711,True,23043
272,58296,True,23043
272,58309,True,23043
272,58310,True,23043
272,58311,True,23043
272,58312,True,23043
272,58313,True,23043
272,58315,True,23043
272,58316,True,23043
272,58318,True,23043
272,58319,True,23043
272,58504,True,23043
272,58689,True,23043
272,58691,True,23043
272,58987,True,23043
272,58994,True,23043
272,58995,True,23043
272,58996,True,23043
272,58997,True,23043
272,60202,True,23043
272,60204,True,23043
272,60207,True,23043
272,61008,True,23043
272,61009,True,23043
272,62378,True,23043
272,62548,True,23043
272,63020,True,23043
272,63577,True,23043
272,63578,True,23043
272,64787,True,23043
272,64788,True,23043
272,64789,True,23043
272,65081,True,23043
272,65082,True,23043
272,65083,True,23043
272,65084,True,23043
272,65085,True,23043
272,65302,True,23043
272,65402,True,23043
272,65474,True,23043
272,65475,True,23043
272,65478,True,23043
272,65480,True,23043
272,65488,True,23043
272,65491,True,23043
272,65503,True,23043
272,65552,True,23043
272,65553,True,23043
272,65560,True,23043
272,65865,True,23043
272,66115,True,23043
272,66116,True,23043
272,66117,True,23043
272,66118,True,23043
272,66122,True,23043
272,66123,True,23043
272,66874,True,23043
272,66875,True,23043
272,66878,True,23043
272,66880,True,23043
272,66881,True,23043
272,66882,True,23043
272,66883,True,23043
272,67863,True,23043
272,68189,True,23043
272,68229,True,23043
272,68230,True,23043
272,68251,True,23043
272,68314,True,23043
272,68496,True,23043
