France_index,z_index_index,ATC_match,best_z_index_index
161,1367,True,
161,1368,True,
161,1369,True,
161,28425,True,
161,52308,True,
161,52650,True,
161,56732,True,
161,58231,True,
161,58232,True,
161,58268,True,
161,68292,True,
161,68332,True,
162,481,True,
162,2360,True,
162,2361,True,
162,2578,True,
162,26016,True,
162,43663,True,
162,52443,True,
163,124,True,
163,411,True,
163,506,True,
163,538,True,
163,1930,True,
163,19144,True,
163,19145,True,
163,19146,True,
163,68499,True,
164,124,True,
164,411,True,
164,506,True,
164,538,True,
164,1930,True,
164,19144,True,
164,19145,True,
164,19146,True,
164,68499,True,
165,24521,True,
165,24737,True,
165,46835,True,
165,46836,True,
165,46858,True,
165,57808,True,
166,15915,True,
166,17426,True,
166,43209,True,
166,43210,True,
166,44028,True,
167,31727,True,
167,31729,True,
169,4815,True,
169,4816,True,
169,4817,True,
169,26753,True,
169,38618,True,
169,41122,True,
169,41123,True,
169,50928,True,
169,54595,True,
169,59957,True,
169,61728,True,
169,64837,True,
171,296,True,
171,657,True,
171,1060,True,
171,1379,True,
171,1681,True,
171,1753,True,
171,6644,True,
171,6871,True,
171,22806,True,
171,25371,True,
171,27724,True,
171,32929,True,
171,34573,True,
171,34594,True,
171,34595,True,
171,34596,True,
171,34597,True,
171,37848,True,
171,39664,True,
171,42039,True,
171,44236,True,
171,46148,True,
171,48548,True,
171,48549,True,
171,48550,True,
171,48551,True,
171,49625,True,
171,49626,True,
171,49627,True,
171,49629,True,
171,50271,True,
171,51797,True,
171,52123,True,
171,53153,True,
171,57698,True,
171,57699,True,
171,57700,True,
171,57701,True,
171,58683,True,
171,58684,True,
171,59311,True,
171,64583,True,
171,65078,True,
171,65088,True,
171,65089,True,
171,65090,True,
171,65096,True,
171,65097,True,
171,65098,True,
171,65099,True,
171,65405,True,
171,65489,True,
171,65860,True,
171,67158,True,
171,68493,True,
171,69958,True,
171,69959,True,
171,69960,True,
171,71092,True,
171,71095,True,
171,71106,True,
171,71108,True,
171,71197,True,
172,3556,True,
172,3557,True,
172,21632,True,
172,24574,True,
174,365,True,
175,30,True,
175,21073,True,
175,24568,True,
175,25472,True,
175,25531,True,
175,26535,True,
176,136,True,
176,246,True,
176,247,True,
176,2781,True,
176,12582,True,
176,15770,True,
176,25032,True,
176,25033,True,
176,25034,True,
176,25035,True,
176,25036,True,
176,25037,True,
176,25038,True,
176,25039,True,
176,25040,True,
176,28121,True,
176,28122,True,
176,28123,True,
176,28124,True,
176,28133,True,
176,29949,True,
176,29950,True,
176,29951,True,
176,29952,True,
176,29953,True,
176,29954,True,
176,29955,True,
176,29956,True,
176,29957,True,
176,32747,True,
176,32748,True,
176,32749,True,
176,32750,True,
176,32751,True,
176,32752,True,
176,32753,True,
176,32754,True,
176,34816,True,
176,53157,True,
176,54144,True,
176,54145,True,
176,54146,True,
176,54147,True,
176,54148,True,
176,54149,True,
176,54150,True,
176,54151,True,
176,54152,True,
176,60633,True,
178,913,True,
178,3148,True,
178,7327,True,
178,45526,True,
178,48531,True,
178,58681,True,
178,58682,True,
178,64301,True,
178,64302,True,
179,10416,True,
179,10417,True,
179,49787,True,
180,427,True,
180,428,True,
180,584,True,
180,19222,True,
180,20496,True,
180,32729,True,
180,41485,True,
180,50275,True,
180,71110,True,
182,45555,True,
183,267,True,
183,549,True,
183,550,True,
183,648,True,
183,2582,True,
184,1341,True,
184,13319,True,
185,164,True,
185,308,True,
185,4030,True,
185,4071,True,
185,24299,True,
185,24926,True,
185,48105,True,
186,6403,True,
186,18146,True,
187,5179,True,
188,1826,True,
188,48289,True,
189,124,True,
189,411,True,
189,506,True,
189,538,True,
189,1930,True,
189,19144,True,
189,19145,True,
189,19146,True,
189,68499,True,
190,267,True,
190,549,True,
190,550,True,
190,648,True,
190,2582,True,
191,3735,True,
191,3736,True,
191,13833,True,
191,65456,True,
191,65945,True,
192,3735,True,
192,3736,True,
192,13833,True,
192,65456,True,
192,65945,True,
193,8719,True,
193,12225,True,
193,25361,True,
193,74784,True,
194,3184,True,
194,28046,True,
195,699,True,
195,27725,True,
195,50912,True,
195,66145,True,
195,67082,True,
195,67083,True,
196,3184,True,
196,28046,True,
198,13335,True,
198,13346,True,
198,73177,True,
198,73192,True,
199,13335,True,
199,13346,True,
199,73177,True,
199,73192,True,
200,2183,True,
200,4016,True,
200,24293,True,
201,1346,True,
201,1347,True,
201,1366,True,
201,1367,True,
201,1368,True,
201,1369,True,
201,28425,True,
201,52308,True,
201,52650,True,
201,56732,True,
201,58231,True,
201,58232,True,
201,58268,True,
201,68292,True,
201,68332,True,
202,37916,True,
202,37917,True,
203,37916,True,
203,37917,True,
204,136,True,
204,246,True,
204,247,True,
204,2781,True,
204,12582,True,
204,15770,True,
204,25032,True,
204,25033,True,
204,25034,True,
204,25035,True,
204,25036,True,
204,25037,True,
204,25038,True,
204,25039,True,
204,25040,True,
204,28121,True,
204,28122,True,
204,28123,True,
204,28124,True,
204,28133,True,
204,29949,True,
204,29950,True,
204,29951,True,
204,29952,True,
204,29953,True,
204,29954,True,
204,29955,True,
204,29956,True,
204,29957,True,
204,32747,True,
204,32748,True,
204,32749,True,
204,32750,True,
204,32751,True,
204,32752,True,
204,32753,True,
204,32754,True,
204,34816,True,
204,53157,True,
204,54144,True,
204,54145,True,
204,54146,True,
204,54147,True,
204,54148,True,
204,54149,True,
204,54150,True,
204,54151,True,
204,54152,True,
204,60633,True,
205,15871,True,
205,15872,True,
205,31726,True,
205,49772,True,
205,49773,True,
206,3735,True,
206,3736,True,
206,13833,True,
206,65456,True,
206,65945,True,
207,3720,True,
207,3721,True,
207,9075,True,
208,6081,True,
208,6082,True,
208,6573,True,
208,6574,True,
208,26533,True,
208,28506,True,
208,28508,True,
208,44234,True,
208,59306,True,
208,62623,True,
208,68404,True,
210,26922,True,
211,11612,True,
211,11632,True,
211,25365,True,
214,2441,True,
214,56850,True,
214,65783,True,
215,3363,True,
215,6542,True,
215,6635,True,
215,6722,True,
215,11257,True,
215,17444,True,
215,22117,True,
215,26674,True,
215,28767,True,
215,30595,True,
215,35530,True,
215,44021,True,
215,49654,True,
215,51759,True,
215,64517,True,
215,72725,True,
216,23831,True,
217,697,True,
217,22737,True,
218,296,True,
218,657,True,
218,1060,True,
218,1379,True,
218,1681,True,
218,1753,True,
218,6644,True,
218,6871,True,
218,22806,True,
218,25371,True,
218,27724,True,
218,32929,True,
218,34573,True,
218,34594,True,
218,34595,True,
218,34596,True,
218,34597,True,
218,37848,True,
218,39664,True,
218,42039,True,
218,44236,True,
218,46148,True,
218,48548,True,
218,48549,True,
218,48550,True,
218,48551,True,
218,49625,True,
218,49626,True,
218,49627,True,
218,49629,True,
218,50271,True,
218,51797,True,
218,52123,True,
218,53153,True,
218,57698,True,
218,57699,True,
218,57700,True,
218,57701,True,
218,58683,True,
218,58684,True,
218,59311,True,
218,64583,True,
218,65078,True,
218,65088,True,
218,65089,True,
218,65090,True,
218,65096,True,
218,65097,True,
218,65098,True,
218,65099,True,
218,65405,True,
218,65489,True,
218,65860,True,
218,67158,True,
218,68493,True,
218,69958,True,
218,69959,True,
218,69960,True,
218,71092,True,
218,71095,True,
218,71106,True,
218,71108,True,
218,71197,True,
219,553,True,
219,2178,True,
219,2369,True,
219,2386,True,
219,3636,True,
219,6065,True,
219,25860,True,
219,42703,True,
219,46734,True,
219,54579,True,
219,69955,True,
219,71105,True,
220,1365,True,
220,7975,True,
220,7976,True,
220,7977,True,
220,7978,True,
220,7979,True,
220,7980,True,
220,7981,True,
220,7982,True,
220,7983,True,
220,7984,True,
220,22423,True,
220,22454,True,
220,22553,True,
220,22589,True,
220,22636,True,
220,37454,True,
220,38209,True,
220,38210,True,
220,39742,True,
220,42599,True,
220,42774,True,
220,45565,True,
220,48566,True,
220,51792,True,
220,58346,True,
220,59167,True,
220,59168,True,
220,59169,True,
220,59170,True,
220,59171,True,
220,59172,True,
220,63917,True,
221,11456,True,
221,14148,True,
221,14149,True,
221,14153,True,
221,14154,True,
221,17693,True,
221,24990,True,
221,60475,True,
221,68319,True,
222,1835,True,
222,1872,True,
222,18070,True,
222,18071,True,
222,18072,True,
222,18073,True,
222,71517,True,
225,882,True,
225,883,True,
225,3342,True,
225,5920,True,
225,42509,True,
226,32313,True,
226,32324,True,
226,71798,True,
227,881,True,
227,28426,True,
228,1823,True,
228,15776,True,
228,23556,True,
228,23801,True,
228,24456,True,
228,24767,True,
228,28420,True,
228,30192,True,
228,30805,True,
228,30879,True,
228,32039,True,
228,32040,True,
228,34200,True,
228,34539,True,
228,34679,True,
