Italy_index,z_index_index,ATC_match,best_z_index_index
119,37853,True,139254
119,37863,True,139254
119,37873,True,139254
119,40939,True,139254
119,40949,True,139254
119,40959,True,139254
119,40972,True,139254
119,41753,True,139254
119,41754,True,139254
119,41755,True,139254
119,42262,True,139254
119,45194,True,139254
119,45214,True,139254
119,45224,True,139254
119,45234,True,139254
119,45244,True,139254
119,58661,True,139254
119,69308,True,139254
119,73419,True,139254
119,73429,True,139254
119,73439,True,139254
119,73449,True,139254
119,73459,True,139254
121,822,True,3107
121,8241,True,3107
121,8242,True,3107
121,8243,True,3107
121,8246,True,3107
121,22821,True,3107
122,822,True,13722
122,8241,True,13722
122,8242,True,13722
122,8243,True,13722
122,8246,True,13722
122,22821,True,13722
123,2599,True,54860
123,20553,True,54860
124,2599,True,54860
124,20553,True,54860
125,2599,True,54879
125,20553,True,54879
126,8804,True,84778
126,20963,True,84778
126,21609,True,84778
126,29246,True,84778
126,29248,True,84778
126,42764,True,84778
126,62330,True,84778
127,14,True,
127,16,True,
127,50435,True,
127,69512,True,
128,14,True,
128,16,True,
128,50435,True,
128,69512,True,
129,12488,True,24082
129,12489,True,24082
129,12490,True,24082
129,12535,True,24082
129,27385,True,24082
129,52666,True,24082
129,54141,True,24082
130,12488,True,69663
130,12489,True,69663
130,12490,True,69663
130,12535,True,69663
130,27385,True,69663
130,52666,True,69663
130,54141,True,69663
131,12488,True,69671
131,12489,True,69671
131,12490,True,69671
131,12535,True,69671
131,27385,True,69671
131,52666,True,69671
131,54141,True,69671
132,12488,True,69671
132,12489,True,69671
132,12490,True,69671
132,12535,True,69671
132,27385,True,69671
132,52666,True,69671
132,54141,True,69671
133,12488,True,69663
133,12489,True,69663
133,12490,True,69663
133,12535,True,69663
133,27385,True,69663
133,52666,True,69663
133,54141,True,69663
134,12488,True,
134,12489,True,
134,12490,True,
134,12535,True,
134,27385,True,
134,52666,True,
134,54141,True,
135,12488,True,24082
135,12489,True,24082
135,12490,True,24082
135,12535,True,24082
135,27385,True,24082
135,52666,True,24082
135,54141,True,24082
136,12488,True,69671
136,12489,True,69671
136,12490,True,69671
136,12535,True,69671
136,27385,True,69671
136,52666,True,69671
136,54141,True,69671
137,12488,True,24082
137,12489,True,24082
137,12490,True,24082
137,12535,True,24082
137,27385,True,24082
137,52666,True,24082
