Nome medicinale,Codice AIC,Principio attivo,Forma farmaceutica e dosaggio,Titolare AIC,Data inizio,Fine presunta,Equivalente,Motivazioni,Suggerimenti/Indicazioni AIFA,Nota AIFA,Classe di rimborsabilit�,Codice ATC,cleaned_atc,PRK
LATTULOSIO PENSA,34026043,LATTULOSIO,"""66,7 G/100 ML SCIROPPO "" 1 FLACONE DA 180 ML",Towa Pharmaceutical S.p.A.,17/02/2025,30/06/2025,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,A06AD11,A06AD11,892
LATTULOSIO ZENTIVA,29160025,LATTULOSIO,"""66,7G/100ML SCIROPPO"" FLACONE 200 ML",ZENTIVA ITALIA S.R.L.,27/03/2023,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,A06AD11,A06AD11,892
LEDERFOLIN,24659157,CALCIO LEVOFOLINATO,"""2,5 MG GRANULATO PER SOLUZIONE ORALE"" 20 BUSTINE",PFIZER ITALIA S.R.L.,30/10/2022,,No,Cessata commercializzazione definitiva,Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero,,A TOTALE CARICO DELL'ASSISTITO,V03AF04,V03AF04,
LEFLUNOMIDE MEDAC,42083067,LEFLUNOMIDE,"""20 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - FLACONE (HDPE)"" 30 COMPRESSE RIVESTITE CON FILM",MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH,01/07/2021,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,L04AK01,L04AK01,53619
LEFLUNOMIDE MYLAN,41230107,LEFLUNOMIDE,""" 20 MG COMPRESSE RIVESTITE CON FILM"" 30 COMPRESSE IN  BLISTER PA/ALU/PVC-AL(ALU/ALU)",MYLAN S.P.A.,01/01/2025,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,L04AK01,L04AK01,53619
LEFLUNOMIDE ZENTIVA,41079056,LEFLUNOMIDE,"""20 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - FLACONE (HDPE)"" 30 COMPRESSE",ZENTIVA K.S.,27/10/2023,,S�,Elevata richiesta/problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,L04AK01,L04AK01,53619
LENALIDOMIDE ACCORD,47188040,LENALIDOMIDE,5 MG - CAPSULA RIGIDA - USO ORALE - BLISTER (OPA/ALU/PVC/ALU) - 21 X 1 CAPSULE (DOSE UNITARIA),"ACCORD HEALTHCARE, S.L.U.",12/12/2024,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L04AX04,L04AX04,83909
LENALIDOMIDE ACCORD,47188026,LENALIDOMIDE,"2,5 MG - CAPSULA RIGIDA - USO ORALE - BLISTER (OPA/ALU/PVC/ALU) - 21 X 1 CAPSULE (DOSE UNITARIA)","ACCORD HEALTHCARE, S.L.U.",16/01/2025,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L04AX04,L04AX04,113387
LENALIDOMIDE ACCORD,47188091,LENALIDOMIDE,15 MG - CAPSULA RIGIDA - USO ORALE - BLISTER (OPA/ALU/PVC/ALU) - 21 X 1 CAPSULE (DOSE UNITARIA),"ACCORD HEALTHCARE, S.L.U.",27/03/2025,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L04AX04,L04AX04,83925
LENALIDOMIDE ACCORD,47188077,LENALIDOMIDE,10 MG - CAPSULA RIGIDA - USO ORALE - BLISTER (OPA/ALU/PVC/ALU) - 21 X 1 CAPSULE (DOSE UNITARIA),"ACCORD HEALTHCARE, S.L.U.",04/06/2025,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L04AX04,L04AX04,83917
LENALIDOMIDE GRINDEKS,49360086,LENALIDOMIDE,"""10 MG CAPSULE RIGIDE"" 21 CAPSULE IN BLISTER AL/PVC/ACLAR/PVC",AS GRINDEKS,23/12/2024,14/02/2025,S�,Motivi commerciali,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L04AX04,L04AX04,83917
LENALIDOMIDE KRKA,49379148,LENALIDOMIDE,25 MG - CAPSULA RIGIDA - USO ORALE - BLISTER (OPA/AL/PVC/PET/AL) - 21 X 1 CAPSULE (BLISTER DIVISIBILE PER DOSE UNITARIA),KRKA D.D. NOVO MESTO,11/11/2024,,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L04AX04,L04AX04,83933
LENALIDOMIDE KRKA,49379100,LENALIDOMIDE,15 MG - CAPSULA RIGIDA - USO ORALE - BLISTER (OPA/AL/PVC/PET/AL) - 21 X 1 CAPSULE (BLISTER DIVISIBILE PER DOSE UNITARIA),KRKA D.D. NOVO MESTO,11/11/2024,,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L04AX04,L04AX04,83925
LENALIDOMIDE KRKA,49379023,LENALIDOMIDE,"2,5 MG - CAPSULA RIGIDA - USO ORALE - BLISTER (OPA/AL/PVC/PET/AL) - 21 X 1 CAPSULE (BLISTER DIVISIBILE PER DOSE UNITARIA)",KRKA D.D. NOVO MESTO,11/11/2024,,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L04AX04,L04AX04,113387
LENALIDOMIDE KRKA,49379086,LENALIDOMIDE,10 MG - CAPSULA RIGIDA - USO ORALE - BLISTER (OPA/AL/PVC/PET/AL) - 21 X 1 CAPSULE (BLISTER DIVISIBILE PER DOSE UNITARIA),KRKA D.D. NOVO MESTO,15/07/2024,,S�,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L04AX04,L04AX04,83917
LENALIDOMIDE KRKA,49379047,LENALIDOMIDE,5 MG - CAPSULA RIGIDA - USO ORALE - BLISTER (OPA/AL/PVC/PET/AL) - 21 X 1 CAPSULE (BLISTER DIVISIBILE PER DOSE UNITARIA),KRKA D.D. NOVO MESTO,11/07/2024,,S�,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L04AX04,L04AX04,83909
LENALIDOMIDE KRKA,49379124,LENALIDOMIDE,20 MG - CAPSULA RIGIDA - USO ORALE - BLISTER (OPA/AL/PVC/PET/AL) - 21 X 1 CAPSULE (BLISTER DIVISIBILE PER DOSE UNITARIA),KRKA D.D. NOVO MESTO,11/07/2024,,S�,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L04AX04,L04AX04,125741
LENALIDOMIDE MYLAN,49282142,LENALIDOMIDE,20 MG - CAPSULA RIGIDA - USO ORALE - BLISTER (PVC/ACLAR/ALU) - 21 CAPSULE,MYLAN PHARMACEUTICALS LIMITED,14/03/2024,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L04AX04,L04AX04,125741
