Nome medicinale,Codice AIC,Principio attivo,Forma farmaceutica e dosaggio,Titolare AIC,Data inizio,Fine presunta,Equivalente,Motivazioni,Suggerimenti/Indicazioni AIFA,Nota AIFA,Classe di rimborsabilit�,Codice ATC,cleaned_atc,PRK
SOSEFLUSS,32916013,EPARINA CALCICA,"""12500 UI/0,5 ML  SOLUZIONE INIETTABILE""10 SIRINGHE PRERIEMPITE",SO.SE.PHARM S.R.L. SOCIETA' DI SERVIZIO PER L'INDUSTRIA FARMACEUTICA ED AFFINI,01/09/2021,,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,B01AB01,B01AB01,
SPASMODIL,28580037,PIPETANATO ETOBROMURO,"""10 MG/ML SOLUZIONE INIETTABILE""  6 FIALE",ALFASIGMA S.P.A.,01/06/2018,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A03AA,A03AA,
SPASMODIL,28580049,PIPETANATO ETOBROMURO,"""60 MG SUPPOSTE"" 6 SUPPOSTE",ALFASIGMA S.P.A.,01/06/2018,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,A03AA,A03AA,
SPIDIDOL ANALGESICO,28710022,IBUPROFENE,"""200 MG GRANULATO PER SOLUZIONE ORALE"" 12 BUSTINE",ZAMBON ITALIA S.R.L.,05/06/2018,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,M01AE01,M01AE01,
SPIDIFEN,26916080,IBUPROFENE SALE DI ARGININA,"""400 MG COMPRESSE RIVESTITE CON FILM"" 30 COMPRESSE",ZAMBON ITALIA S.R.L.,25/11/2011,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,M01AE01,M01AE01,27278
SPIDIFEN,26916167,IBUPROFENE SALE DI ARGININA,"""600 MG GRANULATO PER SOLUZIONE ORALE AROMA COLA-LIMONE"" 10 BUSTINE IN CARTA/AL/PE",ZAMBON ITALIA S.R.L.,03/04/2021,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,M01AE01,M01AE01,31321
SPIDIFEN,26916130,IBUPROFENE SALE DI ARGININA,"""600 MG GRANULATO PER SOLUZIONE ORALE GUSTO ALBICOCCA"" 30 BUSTINE",ZAMBON ITALIA S.R.L.,10/03/2021,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,M01AE01,M01AE01,135119
SPIRAMICINA MYLAN GENERICS,33291016,SPIRAMICINA,"""3.000.000 UI COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE",MYLAN S.P.A.,31/10/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,J01FA02,J01FA02,
SPIROFUR,23749017,FUROSEMIDE + SPIRONOLATTONE,"""50 MG + 20 MG CAPSULE RIGIDE""  10 CAPSULE",BRUNO FARMACEUTICI S.P.A.,05/12/2024,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,C03EB01,C03EB01,
SPIROLANG,19913021,SPIRONOLATTONE,10 CAPSULE  50 MG,LABORATORIO FARMACEUTICO SIT SPECIALITA IGIENICO TERAPEUTICHE S.R.L.,20/02/2024,,No,Elevata richiesta,"Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso",,A TOTALE CARICO DEL SSN.,C03DA01,C03DA01,
SPIROLANG,19913033,SPIRONOLATTONE,10 CAPSULE 100 MG,LABORATORIO FARMACEUTICO SIT SPECIALITA IGIENICO TERAPEUTICHE S.R.L.,20/01/2025,,S�,Elevata richiesta/problemi produttivi: distribuzione contingentata,"Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso",,A TOTALE CARICO DEL SSN.,C03DA01,C03DA01,
SPORANOX,27808029,ITRACONAZOLO,10 mg/ml soluzione orale� 1 flacone  in  vetro  da  150  ml,JANSSEN CILAG S.P.A.,01/07/2024,,S�,Cessata commercializzazione definitiva,Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero,,A TOTALE CARICO DEL SSN.,J02AC02,J02AC02,48925
SPORANOX,27808017,ITRACONAZOLO,100 mg capsule rigide� 8 capsule in blister in  PVC/PE/PVDC/Al,JANSSEN CILAG S.P.A.,26/08/2024,01/01/2025,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,J02AC02,J02AC02,32336
SPRYCEL,37400076,DASATINIB,"""20 MG COMPRESSE RIVESTITE CON FILM"" -USO ORALE- BLISTER (ALU/ALU) 60X1 COMPRESSE",BRISTOL-MYERS SQUIBB PHARMA EEIG,28/02/2013,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L01EA02,L01EA02,82112
STEMETIL,14284018,PROCLORPERAZINA DIMALEATO,"""5 MG COMPRESSE RIVESTITE CON FILM"" 20 COMPRESSE",TEOFARMA S.R.L.,07/07/2016,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,A04AD,A04AD,
STERIDROLO,32049025,CLORAMINA,POLVERE 10 BUSTE 5 G,L. MOLTENI & C. DEI F.LLI ALITTI SOCIETA' DI ESERCIZIO S.P.A.,30/03/2019,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,D08AX04,D08AX04,
STEROZINIL,36274025,BETAMETASONE + GENTAMICINA,"""0,1 % + 0,1 % CREMA"" TUBO 30 G",AESCULAPIUS FARMACEUTICI SRL,30/09/2024,,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,D07CC01,D07CC01,
STILLA DECONGESTIONANTE,15001074,TETRIZOLINA CLORIDRATO,"""0,05% COLLIRIO, SOLUZIONE"" 20 CONTENITORI MONODOSE DA 0,3 ML",AZIENDE CHIMICHE RIUNITE ANGELINI FRANCESCO A.C.R.A.F. S.P.A.,20/06/2018,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,S01GA02,S01GA02,
STILNOX,26695015,ZOLPIDEM TARTRATO + ZOLPIDEM TARTRATO,"""10 mg compresse rivestite  con  film"" 30 compresse in blister PVC/PVC-Al",SANOFI S.R.L.,01/04/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,N05CF02,N05CF02,195995
STINRED,44583021,BENDAMUSTINA CLORIDRATO MONOIDRATO,"""180 MG/4 ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 4 FLACONCINI IN VETRO DA 4 ML",DR. REDDY'S S.R.L.,07/04/2022,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L01AA09,L01AA09,
STINRED,44583019,BENDAMUSTINA CLORIDRATO MONOIDRATO,"""180 MG/4 ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 4 ML",DR. REDDY'S S.R.L.,07/04/2022,31/12/2024,No,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L01AA09,L01AA09,
STITILAX,45594037,SODIO CITRATO + SODIO LAURIL SOLFOACETATO + SORBITOLO,"""5 ML SOLUZIONE RETTALE"" 12 CONTENITORI MONODOSE IN LDPE",CARLO ERBA O.T.C. S.R.L.,28/05/2021,,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,A06AG11,A06AG11,130486
STITILAX,45594013,SODIO CITRATO + SODIO LAURIL SOLFOACETATO + SORBITOLO,"""5 ML SOLUZIONE RETTALE"" 4 CONTENITORI MONODOSE IN LDPE",CARLO ERBA O.T.C. S.R.L.,28/05/2021,,S�,Motivi commerciali (carenza relativa solo al canale retail),Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,A06AG11,A06AG11,
STRATTERA,37063310,ATOMOXETINA,"""100 MG CAPSULE RIGIDE"" 28 CAPSULE IN BLISTER PVC/PE/PCTFE/AL",ELI LILLY ITALIA S.P.A.,30/11/2023,,No,Cessata commercializzazione definitiva,Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero,,A TOTALE CARICO DEL SSN.,N06BA09,N06BA09,105309
STRATTERA,37063308,ATOMOXETINA,"""100 MG CAPSULE RIGIDE"" 14 CAPSULE IN BLISTER PVC/PE/PCTFE/AL",ELI LILLY ITALIA S.P.A.,31/07/2017,,No,Cessata commercializzazione definitiva,Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero,,A TOTALE CARICO DEL SSN.,N06BA09,N06BA09,105309
STRATTERA,37063272,ATOMOXETINA,"""80 MG CAPSULE RIGIDE"" 28 CAPSULE IN BLISTER PVC/PE/PCTFE/AL",ELI LILLY ITALIA S.P.A.,15/10/2023,,No,Cessata commercializzazione definitiva,Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero,,A TOTALE CARICO DEL SSN.,N06BA09,N06BA09,89494
STRATTERA,37063094,ATOMOXETINA,"""18 MG CAPSULE RIGIDE"" 7 CAPSULE IN BLISTER PVC/PE/PCTFE/AL",ELI LILLY ITALIA S.P.A.,31/07/2017,,No,Cessata commercializzazione definitiva,Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero,,A TOTALE CARICO DEL SSN.,N06BA09,N06BA09,76716
STRATTERA,37063132,ATOMOXETINA,"""25 MG CAPSULE RIGIDE"" 7 CAPSULE IN BLISTER PVC/PE/PCTFE/AL",ELI LILLY ITALIA S.P.A.,31/07/2017,,No,Cessata commercializzazione definitiva,Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero,,A TOTALE CARICO DEL SSN.,N06BA09,N06BA09,76724
STRATTERA,37063171,ATOMOXETINA,"""40 MG CAPSULE RIGIDE"" 7 CAPSULE IN BLISTER PVC/PE/PCTFE/AL",ELI LILLY ITALIA S.P.A.,15/05/2022,,No,Cessata commercializzazione definitiva,Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero,,A TOTALE CARICO DEL SSN.,N06BA09,N06BA09,76732
STRATTERA,37063260,ATOMOXETINA,"""80 MG CAPSULE RIGIDE"" 14 CAPSULE IN BLISTER PVC/PE/PCTFE/AL",ELI LILLY ITALIA S.P.A.,31/12/2022,,No,Cessata commercializzazione definitiva,Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero,,A TOTALE CARICO DEL SSN.,N06BA09,N06BA09,89494
STRATTERA,37063233,ATOMOXETINA,"""60 MG CAPSULE RIGIDE"" 28 CAPSULE IN BLISTER PVC/PE/PCTFE/AL",ELI LILLY ITALIA S.P.A.,15/11/2023,,No,Cessata commercializzazione definitiva,Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero,,A TOTALE CARICO DEL SSN.,N06BA09,N06BA09,76740
STRATTERA,37063195,ATOMOXETINA,"""40 MG CAPSULE RIGIDE"" 28 CAPSULE IN BLISTER PVC/PE/PCTFE/AL",ELI LILLY ITALIA S.P.A.,15/01/2024,,No,Cessata commercializzazione definitiva,Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero,,A TOTALE CARICO DEL SSN.,N06BA09,N06BA09,76732
STRATTERA,37063118,ATOMOXETINA,"""18 MG CAPSULE RIGIDE"" 28 CAPSULE IN BLISTER PVC/PE/PCTFE/AL",ELI LILLY ITALIA S.P.A.,15/04/2024,,No,Cessata commercializzazione definitiva,Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero,,A TOTALE CARICO DEL SSN.,N06BA09,N06BA09,76716
STRATTERA,37063157,ATOMOXETINA,"""25 MG CAPSULE RIGIDE"" 28 CAPSULE IN BLISTER PVC/PE/PCTFE/AL",ELI LILLY ITALIA S.P.A.,15/07/2024,,No,Cessata commercializzazione definitiva,Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero,,A TOTALE CARICO DEL SSN.,N06BA09,N06BA09,76724
STRATTERA,37063056,ATOMOXETINA,"""10 MG CAPSULE RIGIDE"" 7 CAPSULE IN BLISTER PVC/PE/PCTFE/AL",ELI LILLY ITALIA S.P.A.,15/07/2024,,No,Cessata commercializzazione definitiva,Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero,,A TOTALE CARICO DEL SSN.,N06BA09,N06BA09,76708
STRIALISIN,35314018,ACQUA PER PREPARAZIONI INIETTABILI + SODIO CLORURO + TIOCOLCHICOSIDE,"""4 MG/2 ML SOLUZIONE INIETTABILE"" 6 FIALE DA 2 ML",NEOPHARMED GENTILI S.P.A.,01/11/2025,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,M03BX05,M03BX05,
STRIALISIN,35314020,ACQUA PER PREPARAZIONI INIETTABILI + SODIO CLORURO + TIOCOLCHICOSIDE,"""4 MG/2 ML SOLUZIONE INIETTABILE"" 10 FIALE DA 2 ML",NEOPHARMED GENTILI S.P.A.,01/04/2025,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,M03BX05,M03BX05,
STRIVERDI RESPIMAT,42432070,OLODATEROLO,"""2,5 MICROGRAMMI SOLUZIONE PER INALAZIONE"" 1 CARTUCCIA PE/PP DA 60 EROGAZIONI",BOEHRINGER INGELHEIM INTERNATIONAL GMBH,01/05/2023,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,R03AC19,R03AC19,113166
STRIVERDI RESPIMAT,42432056,OLODATEROLO,"""2,5 MICROGRAMMI SOLUZIONE PER INALAZIONE"" 1 INALATORE RESPIMAT RIUTILIZZABILE + 1 CARTUCCIA PE/PP DA 60 EROGAZIONI",BOEHRINGER INGELHEIM INTERNATIONAL GMBH,10/06/2023,01/09/2025,No,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,R03AC19,R03AC19,113166
STUGERON,21688027,CINNARIZINA,"""75 MG CAPSULE RIGIDE"" BLISTER  20 CAPSULE",JANSSEN CILAG S.P.A.,31/07/2022,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,N07CA02,N07CA02,
STUGERON,21688054,CINNARIZINA,"""75MG/ML GOCCE ORALI SOLUZIONE"" FLACONE 30 ML",JANSSEN CILAG S.P.A.,01/11/2022,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,N07CA02,N07CA02,
STUGERON,21688015,CINNARIZINA,"""25 MG COMPRESSE"" BLISTER 50 COMPRESSE",JANSSEN CILAG S.P.A.,01/11/2022,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,N07CA02,N07CA02,1503
SUBUTEX,33791029,BUPRENORFINA CLORIDRATO,"""2 MG COMPRESSE SUBLINGUALI"" 7 COMPRESSE SUBLINGUALI",INDIVIOR EUROPE LIMITED,05/09/2024,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,N07BC01,N07BC01,80284
SUBUTEX,33791031,BUPRENORFINA CLORIDRATO,"""8 MG COMPRESSE SUBLINGUALI"" 7 COMPRESSE SUBLINGUALI",INDIVIOR EUROPE LIMITED,17/03/2025,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,N07BC01,N07BC01,80292
SUCRALFATO DOC GENERICI,34788012,SUCRALFATO,"""2 G GRANULATO PER SOSPENSIONE ORALE"" 30 BUSTINE",DOC GENERICI SRL,17/09/2024,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A02BX02,A02BX02,
SUCRALFIN,25822053,SUCRALFATO,"""2 G GRANULATO PER SOSPENSIONE ORALE"" 30 BUSTINE",SANOFI S.R.L.,01/05/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A02BX02,A02BX02,
SUCRALFIN,25822026,SUCRALFATO,"""1 G COMPRESSE"" 40 COMPRESSE",SANOFI S.R.L.,15/07/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A02BX02,A02BX02,17892
SUCRAMAL,25724055,SUCRALFATO,"""2 G GRANULATO PER SOSPENSIONE ORALE"" 30 BUSTINE",SCHARPER S.P.A.,30/06/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A02BX02,A02BX02,
SUCRAMAL,25724067,SUCRALFATO,""" 1 G COMPRESSE "" 40 COMPRESSE",SCHARPER S.P.A.,01/12/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A02BX02,A02BX02,17892
SUFENTANIL PIRAMAL,28347021,SUFENTANIL CITRATO,"""0,05 MG/ML SOLUZIONE INIETTABILE"" 5 FIALE DA 1 ML",PIRAMAL CRITICAL CARE ITALIA S.P.A.,29/07/2024,,S�,Problemi produttivi,Rilasciata determinazione per l�importazione al titolare A.I.C.,Confezioni importate a seguito di rilascio determina disponibili presso i magazzini del Titolare dal 15.11.2024,A CARICO DEL SSN AMBITO OSPED.,N01AH03,N01AH03,27081
SUGAMMADEX DR. REDDY'S,49608021,SUGAMMADEX,"""100 MG/ML SOLUZIONE INIETTABILE"" 10 FLACONCINI IN VETRO DA 2 ML",DR. REDDY'S S.R.L.,01/03/2024,,S�,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,V03AB35,V03AB35,87300
SUGAMMADEX DR. REDDY'S,49608045,SUGAMMADEX,"""100 MG/ML SOLUZIONE INIETTABILE"" 10 FLACONCINI IN VETRO DA 5 ML",DR. REDDY'S S.R.L.,01/01/2024,,S�,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,V03AB35,V03AB35,87297
SUGAMMADEX MYLAN,49787043,SUGAMMADEX,100 mg / ml - Soluzione iniettabile - Uso endovenoso - Flaconcino (vetro) 5 ml - 10 flaconcini,MYLAN PHARMACEUTICALS LIMITED,31/01/2025,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,V03AB35,V03AB35,87297
SUGAMMADEX ORION,50504048,SUGAMMADEX,"""100 MG/ML SOLUZIONE INIETTABILE"" 10 FLACONCINI IN VETRO DA 5 ML",ORION CORPORATION,08/01/2024,31/12/2025,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,V03AB35,V03AB35,87297
SUGAMMADEX ORION,50504024,SUGAMMADEX,"""100 MG/ML SOLUZIONE INIETTABILE"" 10 FLACONCINI IN VETRO DA 2 ML",ORION CORPORATION,30/09/2024,31/12/2025,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,V03AB35,V03AB35,87300
SUGAMMADEX TEVA,49859010,SUGAMMADEX SODIUM,"""100 MG/ML SOLUZIONE INIETTABILE"" 10 FLACONCINI IN VETRO DA 2 ML",TEVA B.V.,08/03/2024,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,V03AB35,V03AB35,87300
SUGAMMADEX TEVA,49859022,SUGAMMADEX SODIUM,"""100 MG/ML SOLUZIONE INIETTABILE"" 10 FLACONCINI IN VETRO DA 5 ML",TEVA B.V.,31/03/2025,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,V03AB35,V03AB35,87297
SUGAMMADEX ZENTIVA,49671023,N.D.,"""100 MG/ML SOLUZIONE INIETTABILE"" 10 FLACONCINI DA 5 ML",ZENTIVA ITALIA S.R.L.,30/04/2024,,S�,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,V03AB35,V03AB35,87297
SUGAMMADEX ZENTIVA,49671011,SUGAMMADEX,"""100 MG/ML SOLUZIONE INIETTABILE"" 10 FLACONCINI DA 2 ML",ZENTIVA ITALIA S.R.L.,30/04/2024,,S�,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,V03AB35,V03AB35,87300
SUMATRIPTAN AUROBINDO ITALIA,46202014,SUMATRIPTAN SUCCINATO,"""50 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PA/AL/PVC/AL",AUROBINDO PHARMA (ITALIA) S.R.L.,23/09/2024,,S�,Problemi produttivi (carenza relativa solo al canale retail),Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,N02CC01,N02CC01,41378
SUMATRIPTAN AUROBINDO ITALIA,46202038,SUMATRIPTAN SUCCINATO,"""100 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PA/AL/PVC/AL",AUROBINDO PHARMA (ITALIA) S.R.L.,23/11/2024,,S�,Problemi regolatori,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,N02CC01,N02CC01,32476
SUMATRIPTAN SANDOZ,38636231,SUMATRIPTAN SUCCINATO,"""100 MG COMPRESSE RIVESTITE CON FILM"" 4 COMPRESSE IN BLISTER PVC/PE/PVDC/AL",SANDOZ S.P.A.,15/03/2024,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,N02CC01,N02CC01,32476
SUMATRIPTAN SANDOZ,38636080,SUMATRIPTAN SUCCINATO,"""50 MG COMPRESSE RIVESTITE CON FILM"" 4 COMPRESSE IN BLISTER PVC/PE/PVDC/AL",SANDOZ S.P.A.,01/04/2024,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,N02CC01,N02CC01,41378
SUMATRIPTAN TEVA,37998034,SUMATRIPTAN,"""50 MG COMPRESSE RIVESTITE CON FILM"" 4 COMPRESSE IN BLISTER PVC/PVDC/AL",TEVA ITALIA S.R.L.,06/12/2024,10/01/2025,S�,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,N02CC01,N02CC01,41378
SUMATRIPTAN ZENTIVA,37772047,SUMATRIPTAN,"""50 MG COMPRESSE RIVESTITE"" 4 COMPRESSE IN BLISTER PVC/AL",ZENTIVA ITALIA S.R.L.,30/11/2024,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,N02CC01,N02CC01,41378
SUMATRIPTAN ZENTIVA,37772288,SUMATRIPTAN,"""100 MG COMPRESSE RIVESTITE"" 4 COMPRESSE IN BLISTER PVC/AL",ZENTIVA ITALIA S.R.L.,28/02/2025,,S�,Motivi commerciali,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,N02CC01,N02CC01,32476
SUNITINIB ACCORD,49371091,SUNITINIB,"37,5 MG - CAPSULA RIGIDA - USO ORALE - FLACONE (HDPE) - 30 CAPSULE","ACCORD HEALTHCARE, S.L.U.",01/10/2024,,No,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L01EX01,L01EX01,214280
SUNITINIB ACCORD,49371127,SUNITINIB,50 MG - CAPSULA RIGIDA - USO ORALE - FLACONE (HDPE) - 30 CAPSULE,"ACCORD HEALTHCARE, S.L.U.",30/11/2024,,S�,Motivi commerciali,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L01EX01,L01EX01,214213
SUNITINIB EG,47597113,SUNITINIB,"""25 MG CAPSULE RIGIDE"" 30 CAPSULE IN BLISTER AL-OPA/AL/PVC",EG S.P.A.,31/07/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L01EX01,L01EX01,214205
SUNITINIB EG,47597101,SUNITINIB,"""12,5 MG CAPSULE RIGIDE"" 30 CAPSULE IN BLISTER AL-OPA/AL/PVC",EG S.P.A.,31/07/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L01EX01,L01EX01,214191
SUNITINIB EG,47597125,SUNITINIB,"""50 MG CAPSULE RIGIDE"" 30 CAPSULE IN BLISTER AL-OPA/AL/PVC",EG S.P.A.,31/07/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L01EX01,L01EX01,214213
SUNITINIB SANDOZ,46171082,SUNITINIB,"""50 MG CAPSULE RIGIDE"" 30 CAPSULE IN FLACONE HDPE",SANDOZ S.P.A.,30/09/2024,,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L01EX01,L01EX01,214213
