Spain_index,z_index_index,ATC_match,best_z_index_index
350,13567,True,17469
350,22818,True,17469
350,32783,True,17469
350,43219,True,17469
350,43559,True,17469
350,50650,True,17469
350,50651,True,17469
350,63216,True,17469
350,73956,True,17469
351,4117,True,67857
351,9056,True,67857
351,9057,True,67857
351,12240,True,67857
353,5179,True,
354,3127,True,39136
354,10020,True,39136
354,10022,True,39136
355,1709,True,32336
355,4606,True,32336
358,28737,True,128228
358,28738,True,128228
362,27847,True,66745
362,27848,True,66745
362,27849,True,66745
362,27850,True,66745
364,1335,True,
364,6547,True,
365,1335,True,
365,6547,True,
366,6594,True,81450
367,1790,True,88471
367,3038,True,88471
367,16245,True,88471
367,16246,True,88471
367,16247,True,88471
367,18127,True,88471
367,20009,True,88471
367,24884,True,88471
367,25357,True,88471
367,25358,True,88471
372,2631,True,25542
372,2826,True,25542
372,3531,True,25542
372,13283,True,25542
372,16248,True,25542
373,2631,True,71323
373,2826,True,71323
373,3531,True,71323
373,13283,True,71323
373,16248,True,71323
374,14469,True,86991
374,14470,True,86991
374,20747,True,86991
374,63436,True,86991
374,63467,True,86991
374,63468,True,86991
374,63469,True,86991
374,63470,True,86991
374,63471,True,86991
375,5985,True,
375,5986,True,
379,3906,True,69515
382,2631,True,96946
382,2826,True,96946
382,3531,True,96946
382,13283,True,96946
382,16248,True,96946
383,1704,True,76376
383,1705,True,76376
383,1706,True,76376
383,4796,True,76376
384,1709,True,32336
384,4606,True,32336
385,662,True,
385,73470,True,
389,1704,True,48399
389,1705,True,48399
389,1706,True,48399
389,4796,True,48399
391,23381,True,67628
391,24304,True,67628
392,13980,True,112445
392,13990,True,112445
392,14000,True,112445
392,18633,True,112445
392,18643,True,112445
392,18653,True,112445
392,21022,True,112445
392,23137,True,112445
392,23147,True,112445
392,23157,True,112445
392,23167,True,112445
392,23177,True,112445
392,23187,True,112445
392,25282,True,112445
392,25292,True,112445
392,25302,True,112445
392,25312,True,112445
392,28428,True,112445
392,28841,True,112445
392,28851,True,112445
392,29319,True,112445
392,29329,True,112445
392,29339,True,112445
392,29349,True,112445
392,29359,True,112445
392,29369,True,112445
392,29379,True,112445
392,29413,True,112445
392,29444,True,112445
392,29454,True,112445
392,34926,True,112445
392,34937,True,112445
392,34947,True,112445
392,34957,True,112445
392,34967,True,112445
392,34977,True,112445
392,34987,True,112445
392,37853,True,112445
392,37863,True,112445
392,37873,True,112445
392,40939,True,112445
392,40949,True,112445
392,40959,True,112445
392,40972,True,112445
392,41753,True,112445
392,41754,True,112445
392,41755,True,112445
392,42262,True,112445
392,45194,True,112445
392,45214,True,112445
392,45224,True,112445
