Sweden_index,z_index_index,ATC_match,best_z_index_index
51,8332,True,98191
51,8333,True,98191
51,15862,True,98191
51,15863,True,98191
51,15864,True,98191
51,17568,True,98191
51,17570,True,98191
51,17572,True,98191
51,17573,True,98191
51,17574,True,98191
51,17575,True,98191
51,23077,True,98191
51,23078,True,98191
51,27414,True,98191
51,27415,True,98191
51,29552,True,98191
51,36724,True,98191
51,36725,True,98191
51,36726,True,98191
51,39511,True,98191
51,39512,True,98191
51,39513,True,98191
51,39744,True,98191
51,42631,True,98191
51,67230,True,98191
51,67231,True,98191
51,67232,True,98191
51,67233,True,98191
51,67234,True,98191
51,67235,True,98191
51,68985,True,98191
51,68986,True,98191
51,68987,True,98191
52,8330,True,98191
52,8331,True,98191
52,8332,True,98191
52,8333,True,98191
52,15862,True,98191
52,15863,True,98191
52,15864,True,98191
52,17568,True,98191
52,17570,True,98191
52,17572,True,98191
52,17573,True,98191
52,17574,True,98191
52,17575,True,98191
52,23077,True,98191
52,23078,True,98191
52,27414,True,98191
52,27415,True,98191
52,29552,True,98191
52,36724,True,98191
52,36725,True,98191
52,36726,True,98191
52,39511,True,98191
52,39512,True,98191
52,39513,True,98191
52,39744,True,98191
52,42631,True,98191
52,67230,True,98191
52,67231,True,98191
52,67232,True,98191
52,67233,True,98191
52,67234,True,98191
52,67235,True,98191
52,68985,True,98191
52,68986,True,98191
52,68987,True,98191
53,8330,True,98205
53,8331,True,98205
53,8332,True,98205
53,8333,True,98205
53,15862,True,98205
53,15863,True,98205
53,15864,True,98205
53,17568,True,98205
53,17570,True,98205
53,17572,True,98205
53,17573,True,98205
53,17574,True,98205
53,17575,True,98205
53,23077,True,98205
53,23078,True,98205
53,27414,True,98205
53,27415,True,98205
53,29552,True,98205
53,36724,True,98205
53,36725,True,98205
53,36726,True,98205
53,39511,True,98205
53,39512,True,98205
53,39513,True,98205
53,39744,True,98205
53,42631,True,98205
53,67230,True,98205
53,67231,True,98205
53,67232,True,98205
53,67233,True,98205
53,67234,True,98205
53,67235,True,98205
53,68985,True,98205
53,68986,True,98205
53,68987,True,98205
54,8330,True,98205
54,8331,True,98205
54,8332,True,98205
54,8333,True,98205
54,15862,True,98205
54,15863,True,98205
54,15864,True,98205
54,17568,True,98205
54,17570,True,98205
54,17572,True,98205
54,17573,True,98205
54,17574,True,98205
54,17575,True,98205
54,23077,True,98205
54,23078,True,98205
54,27414,True,98205
54,27415,True,98205
54,29552,True,98205
54,36724,True,98205
54,36725,True,98205
54,36726,True,98205
54,39511,True,98205
54,39512,True,98205
54,39513,True,98205
54,39744,True,98205
54,42631,True,98205
54,67230,True,98205
54,67231,True,98205
54,67232,True,98205
54,67233,True,98205
54,67234,True,98205
54,67235,True,98205
54,68985,True,98205
54,68986,True,98205
54,68987,True,98205
55,8330,True,98205
55,8331,True,98205
55,8332,True,98205
55,8333,True,98205
55,15862,True,98205
55,15863,True,98205
55,15864,True,98205
55,17568,True,98205
55,17570,True,98205
55,17572,True,98205
55,17573,True,98205
55,17574,True,98205
55,17575,True,98205
55,23077,True,98205
55,23078,True,98205
55,27414,True,98205
55,27415,True,98205
55,29552,True,98205
55,36724,True,98205
55,36725,True,98205
55,36726,True,98205
55,39511,True,98205
55,39512,True,98205
55,39513,True,98205
55,39744,True,98205
55,42631,True,98205
55,67230,True,98205
55,67231,True,98205
55,67232,True,98205
55,67233,True,98205
55,67234,True,98205
55,67235,True,98205
55,68985,True,98205
55,68986,True,98205
55,68987,True,98205
56,8330,True,98205
56,8331,True,98205
56,8332,True,98205
56,8333,True,98205
56,15862,True,98205
56,15863,True,98205
56,15864,True,98205
56,17568,True,98205
56,17570,True,98205
56,17572,True,98205
56,17573,True,98205
56,17574,True,98205
56,17575,True,98205
56,23077,True,98205
56,23078,True,98205
56,27414,True,98205
56,27415,True,98205
56,29552,True,98205
56,36724,True,98205
56,36725,True,98205
56,36726,True,98205
56,39511,True,98205
56,39512,True,98205
56,39513,True,98205
56,39744,True,98205
56,42631,True,98205
56,67230,True,98205
56,67231,True,98205
56,67232,True,98205
56,67233,True,98205
56,67234,True,98205
56,67235,True,98205
56,68985,True,98205
56,68986,True,98205
56,68987,True,98205
57,8330,True,98221
57,8331,True,98221
57,8332,True,98221
57,8333,True,98221
57,15862,True,98221
57,15863,True,98221
57,15864,True,98221
57,17568,True,98221
57,17570,True,98221
57,17572,True,98221
57,17573,True,98221
57,17574,True,98221
57,17575,True,98221
57,23077,True,98221
57,23078,True,98221
57,27414,True,98221
57,27415,True,98221
57,29552,True,98221
57,36724,True,98221
57,36725,True,98221
57,36726,True,98221
57,39511,True,98221
57,39512,True,98221
57,39513,True,98221
57,39744,True,98221
57,42631,True,98221
57,67230,True,98221
57,67231,True,98221
57,67232,True,98221
57,67233,True,98221
57,67234,True,98221
57,67235,True,98221
57,68985,True,98221
57,68986,True,98221
57,68987,True,98221
58,8330,True,98221
58,8331,True,98221
58,8332,True,98221
58,8333,True,98221
58,15862,True,98221
58,15863,True,98221
