Nome medicinale;Codice AIC;Principio attivo;Forma farmaceutica e dosaggio;Titolare AIC;Data inizio;Fine presunta;Equivalente;Motivazioni;Suggerimenti/Indicazioni AIFA;Nota AIFA;Classe di rimborsabilit�;Codice ATC
ORODAX;047865112;SOLIFENACINA SUCCINATO;"""5 MG COMPRESSE ORODISPERSIBILI"" 10 COMPRESSE IN BLISTER AL/AL";FARMITALIA INDUSTRIA CHIMICO FARMACEUTICA S.R.L.;30/11/2023;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;G04BD08
ORODAX;047865011;SOLIFENACINA SUCCINATO;"""5 MG COMPRESSE ORODISPERSIBILI"" 30 COMPRESSE IN BLISTER AL/AL";FARMITALIA INDUSTRIA CHIMICO FARMACEUTICA S.R.L.;08/05/2023;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;G04BD08
ORUDIS;023183193;KETOPROFENE;"""200 MG CAPSULE RIGIDE A RILASCIO PROLUNGATO"" 30 CAPSULE";SANOFI S.R.L.;02/05/2025;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M01AE03
ORUDIS;023183142;KETOPROFENE;"""5% GEL"" TUBO DA 50 G";SANOFI S.R.L.;04/04/2025;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;M02AA10
OSSIBUTININA CLORIDRATO MYLAN GENERICS;034261115;OXIBUTININA CLORIDRATO;BLISTER 30 COMPRESSE 5 MG;MYLAN S.P.A.;16/12/2024;;S�;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;G04BD04
OSSICODONE E NALOXONE EG;043855055;NALOXONE CLORIDRATO + OSSICODONE CLORIDRATO;"""10 MG/ 5 MG COMPRESSE A RILASCIO PROLUNGATO"" 28 COMPRESSE IN BLISTER AL/PVC/PE/PVDC";EG S.P.A.;31/12/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02AA55
OSSICODONE E NALOXONE EG;043855093;NALOXONE CLORIDRATO + OSSICODONE CLORIDRATO;"""20 MG/ 10 MG COMPRESSE A RILASCIO PROLUNGATO"" 28 COMPRESSE IN BLISTER AL/PVC/PE/PVDC";EG S.P.A.;31/12/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02AA55
OSSICODONE E NALOXONE EG;043855016;NALOXONE CLORIDRATO + OSSICODONE CLORIDRATO;"""5 MG/2.5MG COMPRESSE A RILASCIO PROLUNGATO"" 28 COMPRESSE IN BLISTER AL/PVC/PE/PVDC";EG S.P.A.;31/12/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02AA55
OSSICODONE E NALOXONE EG;043855170;NALOXONE CLORIDRATO + OSSICODONE CLORIDRATO;"""40 MG/ 20 MG COMPRESSE A RILASCIO PROLUNGATO"" 28 COMPRESSE IN BLISTER AL/PVC/PE/PVDC";EG S.P.A.;31/12/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02AA55
OSTEOCIS;039027014;SODIO OSSIDRONATO;�3 mg Kit per preparazione  radiofarmaceutica�  5 flaconcini da 15 ml;CURIUM ITALY S.R.L.;30/07/2024;30/06/2025;S�;Elevata richiesta;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DELL'ASSISTITO;V09BA01
OTREON;027969017;CEFPODOXIME PROXETIL;"""100 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";DAIICHI SANKYO ITALIA S.P.A.;10/02/2023;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD13
