nr,ZI-nummer,Artikelnaam,Verpakking status*,Preferent bij Zilveren Kruis,Preferent bij CZ,Preferent bij Menzis,Preferent bij VGZ,Preferent bij DSW,Preferent bij ONVZ,Laagste Prijs  Niet-beschikbaar,Opmerking van fabrikant,scrape_datum,bron_week
68,15673359,BISOPROLOLFUMARAAT VIATRIS TABLET 5MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
69,15023613,BONDRONAT TABLET FILMOMHULD 50MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
70,16522753,"BOSENTAN TEVA TABLET FILMOMHULD 62,5MG",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
71,16522745,BOSENTAN TEVA TABLET FILMOMHULD 125MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
72,17337240,BOSUTINIB CF TABLET FILMOMHULD 100MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
73,17337259,BOSUTINIB CF TABLET FILMOMHULD 400MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
74,15858685,BUDESONIDE ORION 400 EASYH INHALPDR 400MCG/DO 100D,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
75,14281414,BUMETANIDE SANDOZ TABLET 5MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
76,15548848,BUPRENORFINE MYLAN TABLET SUBLINGUAAL 8MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
77,16778383,BUPROPION HCL TEVA RETARD TABLET MGA 300MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
78,16025563,CALCIUM/VITAMINE D3 TEVA KAUWTABLET 500MG/440IE,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
79,17157439,CANDESARTAN CILEXETIL AUROBINDO TABLET 4MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
80,15773469,CANDESARTAN CILEXETIL MYLAN TABLET 16MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
81,15917509,CANDESARTAN CILEXETIL TEVA TABLET 8MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
82,15917487,CANDESARTAN CILEXETIL TEVA TABLET 16MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
